Country;BCG_vacc_rates;Mean_Schooling_2018;HDI_2018;Countnum;SCI_KNOWLEDGE;TRUST_GOV;TRUS_SCIENTISTS; TRUST_SCI_ACCURACY;TRUST_SCI;VACCINE_KNOWLEDGE; ATTITUDE_VACC_IMP;ATTITUDE_VACC_EFF;ATTITUDE_VACC_SAFE;CHILDREN_VACC;RELIGION;SCIENCE_CONF_REL;BELIEVE_SCIENCE;WGM_Index;WGM_Indexr;ViewOfScience;Age;Gender;EDUC_LVL;INCOME_HOUSE;CHILD_ALIVE
Mauritania;98;4,5;0,52;62;1,306569343;1,173306773;1,480278422;1,61575179;1,752783964;0,931034483;3,816532258;3,710300429;3,424568966;0,932926829;1;0,258953168;3,288888889;2,413793103;1,514360313;2,505586592;39,96219931;0,530927835;0,586145648;;0,982817869
Mauritius;99;9,3;0,79;150;1,511343805;1,56360424;1,70754717;2,036297641;2,062176166;0,972972973;3,814685315;3,437389771;3,086175943;0,897391304;0,991482112;0,211132438;10,40952381;2,95480226;1,882882883;1,86259542;50,14671164;0,435075885;0,826013514;3,320404722;1
Mexico;96;8,6;0,774;34;1,03869969;1,051886792;1,836569579;1,962783172;1,915702479;0,933333333;3,868770764;3,599326599;3,574324324;0,974916388;0,960191083;0,416523236;8,94893617;2,868421053;1,817749604;2,278632479;44,47604328;0,335394127;0,795981453;2,978361669;0,998454405
Moldova;96;11,6;0,7;75;1,606622517;0,867746289;1,662222222;1,739069111;1,734922861;0,95844504;3,031884058;2,73089172;2,631160572;0,919354839;0,994750656;0,542622951;32,89783282;2,613953488;1,596237337;2,567474048;51,70811518;0,421465969;0,984293194;2,97513089;0,993455497
Mongolia;99;10,1;0,741;153;1,148288973;1,382157124;1,982733813;2,136111111;2,113180516;0,945745993;3,627659574;3,480484522;3,245833333;0,980289093;0,748458693;0,307251908;4,993548387;3,020942408;1,946348733;2,848200313;45,98769988;0,383763838;1,013530135;3,0799508;1
Montenegro;;11,3;0,814;154;1,589655172;1,314779271;1,521384929;1,668639053;1,762645914;0,972508591;3,159709619;2,880907372;2,665391969;0,965641953;0,994773519;0,477218225;36,72486772;2,580645161;1,560878244;2,814004376;50,76320273;0,427597956;1,008576329;3,069846678;0,991482112
Morocco;99;5,5;0,667;3;0,83958021;1,311023622;1,951983299;2,158836689;2,194384449;0,983965015;3,874242424;3,642086331;3,704028021;0,986666667;1;0,381395349;1,286624204;3,085365854;2,057017544;2,483412322;44,68313953;0,293604651;0,266375546;2,989825581;1
Mozambique;95;3,5;0,437;63;1,176900585;2,352609309;1,940032415;2,058319039;2,182741117;0,932705249;3,868115942;3,501623377;3,719350074;0,951683748;0,97648686;0,328220859;6,747619048;3,281938326;2,145;1,94184168;37,64966443;0,570469799;0,37972973;3,13557047;0,993288591
Myanmar;90;4,9;0,578;54;0,810966811;2,544303797;2,329073482;2,50619195;2,421383648;0,9765625;3,857908847;3,772169168;3,719562244;0,917678812;1;0,14479638;5,258064516;3,449838188;2,339233038;1,74554295;46,76072822;0,503250975;0,252275683;3,11443433;0,99479844
N. Cyprus;;;;202;1,889067524;1,487725041;2,067453626;2,546052632;2,557003257;1;3,9392;3,6672;3,583870968;1;0,924914676;0,1875;23,52688172;3,097222222;1,996497373;1,841322314;48,5872;0,576;1,176;3,0256;0,992
Namibia;94;6,8;0,647;155;1,395563771;1,701851852;1,682572614;1,763419483;1,785140562;0,73556797;3,750636132;3,346153846;3,469387755;0,951156812;1;0,385395538;5,89893617;2,673076923;1,717171717;2,313929314;35,89087657;0,384615385;0,969147005;3,416815742;0,982110912
